rank,tier,score,id,domain,topic,dimension,viewpoint,inspect_signals,executive_failure,probe_method
467,P2,85.835,D16-T02-V4,データ・分析・AIガバナンス,データ品質,意思決定・オーナー責任,データ品質に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,完全性・正確性・遅延・重複の品質SLA,誤った経営指標で投資判断をする,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
468,P2,85.835,D23-T02-V3,予算・財務計画・投資管理,Rolling Forecast,下方リスク・早期警戒責任,Rolling Forecastの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「古い予算を前提に意思決定する」が顕在化する前に経営判断へつなげられること。,最新見通しと当初計画の差・更新頻度,古い予算を前提に意思決定する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
469,P2,85.82,D08-T03-V3,顧客価値・利用・UX,主要機能利用率,下方リスク・早期警戒責任,主要機能利用率の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「売れているが中核価値が使われない」が顕在化する前に経営判断へつなげられること。,価値仮説上重要な機能の利用割合,売れているが中核価値が使われない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
470,P2,85.82,D10-T03-V4,品質・テスト,回帰欠陥,意思決定・オーナー責任,回帰欠陥に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,既存機能の再発・破壊件数,新機能追加で既存価値を壊す,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
471,P2,85.82,D22-T03-V4,ガバナンス・意思決定・リスク,KPI Ownership,意思決定・オーナー責任,KPI Ownershipに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,各KPIの単一責任者と是正権限,数字は悪いが誰も変えられない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
472,P2,85.805,D17-T04-V3,アーキテクチャ・技術負債・プラットフォーム,依存ライブラリ健全性,下方リスク・早期警戒責任,依存ライブラリ健全性の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「古い依存がアップグレード経路を塞ぐ」が顕在化する前に経営判断へつなげられること。,更新遅延、脆弱性、保守終了,古い依存がアップグレード経路を塞ぐ,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
473,P2,85.805,D22-T04-V4,ガバナンス・意思決定・リスク,Escalation Threshold,意思決定・オーナー責任,Escalation Thresholdに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,経営報告すべき閾値と時間,重大化するまで上位者へ上がらない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
474,P2,85.79,D16-T05-V4,データ・分析・AIガバナンス,AI機能価値,意思決定・オーナー責任,AI機能価値に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,AI機能の利用・精度・業務成果・有料化,デモ映えだけで継続価値がない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
475,P2,85.79,D17-T05-V3,アーキテクチャ・技術負債・プラットフォーム,API設計,下方リスク・早期警戒責任,API設計の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「外部連携拡大後に変更不能になる」が顕在化する前に経営判断へつなげられること。,契約、Versioning、互換性、Rate Limit,外部連携拡大後に変更不能になる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
476,P2,85.79,D22-T05-V4,ガバナンス・意思決定・リスク,Investment Gate,意思決定・オーナー責任,Investment Gateに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,大型投資の開始・継続・停止条件,期待だけで投資継続する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
477,P2,85.79,D23-T05-V3,予算・財務計画・投資管理,ROI Portfolio,下方リスク・早期警戒責任,ROI Portfolioの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「投資総額は把握しても成果別に見えない」が顕在化する前に経営判断へつなげられること。,投資テーマ別投入額・便益・継続判断,投資総額は把握しても成果別に見えない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
478,P2,85.785,D18-T02-V2,サプライチェーン・外部ベンダー,重要SaaS/API依存,構造・因果の説明責任,重要SaaS/API依存の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,認証・決済・通知等の第三者依存とSLA,外部障害を自社で復旧できない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
479,P2,85.775,D01-T06-V3,事業成果・売上成長,収益の継続性,下方リスク・早期警戒責任,収益の継続性の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「単発売上で見かけの成長を作る」が顕在化する前に経営判断へつなげられること。,Recurring Revenue比率、契約期間、更新確度,単発売上で見かけの成長を作る,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
480,P2,85.775,D10-T06-V4,品質・テスト,品質ゲート,意思決定・オーナー責任,品質ゲートに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,リリース可否基準・例外承認,納期都合で基準が形骸化する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
481,P2,85.775,D22-T06-V4,ガバナンス・意思決定・リスク,Postmortem Action Governance,意思決定・オーナー責任,Postmortem Action Governanceに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,是正項目のOwner・期限・完了検証,改善項目が放置され再発する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
482,P2,85.77,D09-T03-V2,開発速度・R&D生産性,Delivery Predictability,構造・因果の説明責任,Delivery Predictabilityの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,計画対実績、遅延率、見積誤差,毎回遅れるが原因が分析されない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
483,P2,85.76,D10-T07-V4,品質・テスト,Rollback安全性,意思決定・オーナー責任,Rollback安全性に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,ロールバック所要時間・データ互換性,不具合を戻せず影響が長期化する,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
484,P2,85.76,D17-T07-V3,アーキテクチャ・技術負債・プラットフォーム,Observability Architecture,下方リスク・早期警戒責任,Observability Architectureの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「障害解析が人の勘に依存する」が顕在化する前に経営判断へつなげられること。,ログ・メトリクス・トレースの関連付け,障害解析が人の勘に依存する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
485,P2,85.745,D17-T08-V3,アーキテクチャ・技術負債・プラットフォーム,技術負債台帳,下方リスク・早期警戒責任,技術負債台帳の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「負債が抽象語のまま優先されない」が顕在化する前に経営判断へつなげられること。,負債の事業影響・返済コスト・期限,負債が抽象語のまま優先されない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
486,P2,85.74,D09-T05-V2,開発速度・R&D生産性,依存関係待ち,構造・因果の説明責任,依存関係待ちの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,他チーム・承認・環境待ち時間,人の稼働率は高いがフローが止まる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
487,P2,85.73,D01-T09-V3,事業成果・売上成長,売上認識品質,下方リスク・早期警戒責任,売上認識品質の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「KPIと会計売上の不整合が経営判断を歪める」が顕在化する前に経営判断へつなげられること。,売上認識条件、繰延、契約変更の影響,KPIと会計売上の不整合が経営判断を歪める,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
488,P2,85.73,D10-T09-V4,品質・テスト,互換性,意思決定・オーナー責任,互換性に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,API/UI/データ形式の後方互換方針,顧客連携を破壊して解約を招く,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
489,P2,85.725,D09-T06-V2,開発速度・R&D生産性,Rework,構造・因果の説明責任,Reworkの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,手戻り・再実装・仕様変更工数,速度改善が再作業増で相殺される,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
490,P2,85.725,D18-T06-V2,サプライチェーン・外部ベンダー,Exit Plan,構造・因果の説明責任,Exit Planの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,契約終了・値上げ・撤退時の移行時間とデータ取得,ベンダーロックインで交渉不能になる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
491,P2,85.715,D01-T10-V3,事業成果・売上成長,成長投資の限界効率,下方リスク・早期警戒責任,成長投資の限界効率の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「投資を増やしても成長率が改善しない」が顕在化する前に経営判断へつなげられること。,追加投資1単位当たりの増分ARR・粗利,投資を増やしても成長率が改善しない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
492,P2,85.715,D22-T10-V4,ガバナンス・意思決定・リスク,利益相反・目標衝突,意思決定・オーナー責任,利益相反・目標衝突に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,売上・品質・速度等の衝突解消ルール,各部門のKPIが事業全体を壊す,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
493,P2,85.715,D23-T10-V3,予算・財務計画・投資管理,Variance Root Cause,下方リスク・早期警戒責任,Variance Root Causeの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「差異説明が結果報告だけで終わる」が顕在化する前に経営判断へつなげられること。,予実差の価格・数量・Mix・時期要因,差異説明が結果報告だけで終わる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
494,P2,85.71,D18-T07-V2,サプライチェーン・外部ベンダー,AI Provider依存,構造・因果の説明責任,AI Provider依存の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,モデル提供者の価格・仕様・地域・ポリシー変更影響,モデル変更で製品挙動と原価が同時に変わる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
495,P2,85.68,D18-T09-V2,サプライチェーン・外部ベンダー,BCP連携,構造・因果の説明責任,BCP連携の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,重要ベンダーを含む障害・復旧訓練,自社BCPが外部依存で成立しない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
496,P2,85.67,D02-T03-V1,継続率・顧客維持,Logo Churn,結果・状態の説明責任,Logo Churnについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,顧客社数ベースの解約率と解約理由,小口解約が将来の市場評価低下につながる,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
497,P2,85.655,D21-T04-V1,組織・人材・リーダーシップ,離職・定着,結果・状態の説明責任,離職・定着について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,重要人材の離職率と理由,ノウハウ流出で速度・品質が同時悪化する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
498,P2,85.64,D12-T05-V1,セキュリティ,暗号化,結果・状態の説明責任,暗号化について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,保存時・転送時・鍵管理・顧客鍵要件,機密データが保護要件を満たさない,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
499,P2,85.64,D21-T05-V1,組織・人材・リーダーシップ,スキルギャップ,結果・状態の説明責任,スキルギャップについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,将来戦略に必要な能力と現有能力差,戦略だけ先行し実行力がない,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
500,P2,85.625,D02-T06-V1,継続率・顧客維持,解約理由の構造化,結果・状態の説明責任,解約理由の構造化について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,価格・機能・品質・競合・組織要因別の解約,解約原因を『予算都合』で終わらせる,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
501,P3,85.595,D02-T08-V1,継続率・顧客維持,Expansion母集団,結果・状態の説明責任,Expansion母集団について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,拡張余地のあるアカウント数・金額・条件,NRR向上計画に実在する案件母集団がない,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
502,P3,85.595,D12-T08-V1,セキュリティ,Threat Modeling,結果・状態の説明責任,Threat Modelingについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,主要機能・境界変更時の脅威分析,設計段階の高リスクを実装後に発見する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
503,P3,85.58,D02-T09-V1,継続率・顧客維持,休眠・低利用顧客,結果・状態の説明責任,休眠・低利用顧客について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,契約中だが価値実感が弱い顧客比率,更新時に一斉解約が発生する,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
504,P3,85.58,D12-T09-V1,セキュリティ,Pen Test/Red Team,結果・状態の説明責任,Pen Test/Red Teamについて、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,高リスク面の第三者検証と是正率,監査直前だけ検査して常時リスクを見逃す,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
505,P3,85.58,D21-T09-V1,組織・人材・リーダーシップ,意思決定速度,結果・状態の説明責任,意思決定速度について、経営要求と現在の実態との差分を把握し、その差分が事業へ与える影響まで説明できる状態にあること。,重要意思決定のリードタイムと滞留箇所,会議と承認で市場対応が遅れる,現在の説明・資料から要求水準、実績、差分、影響を拾う。欠けている要素だけを問い、単なるKPI暗記問題にはしない。
506,P3,85.385,D18-T02-V4,サプライチェーン・外部ベンダー,重要SaaS/API依存,意思決定・オーナー責任,重要SaaS/API依存に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,認証・決済・通知等の第三者依存とSLA,外部障害を自社で復旧できない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
507,P3,85.37,D02-T03-V3,継続率・顧客維持,Logo Churn,下方リスク・早期警戒責任,Logo Churnの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「小口解約が将来の市場評価低下につながる」が顕在化する前に経営判断へつなげられること。,顧客社数ベースの解約率と解約理由,小口解約が将来の市場評価低下につながる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
508,P3,85.37,D09-T03-V4,開発速度・R&D生産性,Delivery Predictability,意思決定・オーナー責任,Delivery Predictabilityに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,計画対実績、遅延率、見積誤差,毎回遅れるが原因が分析されない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
509,P3,85.355,D21-T04-V3,組織・人材・リーダーシップ,離職・定着,下方リスク・早期警戒責任,離職・定着の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「ノウハウ流出で速度・品質が同時悪化する」が顕在化する前に経営判断へつなげられること。,重要人材の離職率と理由,ノウハウ流出で速度・品質が同時悪化する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
510,P3,85.35,D08-T01-V2,顧客価値・利用・UX,Activation,構造・因果の説明責任,Activationの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,契約後に価値体験へ到達する率・時間,契約しても使い始められない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
511,P3,85.35,D17-T01-V2,アーキテクチャ・技術負債・プラットフォーム,スケーラビリティ限界,構造・因果の説明責任,スケーラビリティ限界の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,主要コンポーネントの限界値と次の打ち手,成長後に急な全面改修が必要になる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
512,P3,85.34,D09-T05-V4,開発速度・R&D生産性,依存関係待ち,意思決定・オーナー責任,依存関係待ちに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,他チーム・承認・環境待ち時間,人の稼働率は高いがフローが止まる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
513,P3,85.34,D12-T05-V3,セキュリティ,暗号化,下方リスク・早期警戒責任,暗号化の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「機密データが保護要件を満たさない」が顕在化する前に経営判断へつなげられること。,保存時・転送時・鍵管理・顧客鍵要件,機密データが保護要件を満たさない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
514,P3,85.34,D21-T05-V3,組織・人材・リーダーシップ,スキルギャップ,下方リスク・早期警戒責任,スキルギャップの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「戦略だけ先行し実行力がない」が顕在化する前に経営判断へつなげられること。,将来戦略に必要な能力と現有能力差,戦略だけ先行し実行力がない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
515,P3,85.335,D23-T02-V2,予算・財務計画・投資管理,Rolling Forecast,構造・因果の説明責任,Rolling Forecastの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,最新見通しと当初計画の差・更新頻度,古い予算を前提に意思決定する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
516,P3,85.325,D02-T06-V3,継続率・顧客維持,解約理由の構造化,下方リスク・早期警戒責任,解約理由の構造化の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「解約原因を『予算都合』で終わらせる」が顕在化する前に経営判断へつなげられること。,価格・機能・品質・競合・組織要因別の解約,解約原因を『予算都合』で終わらせる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
517,P3,85.325,D09-T06-V4,開発速度・R&D生産性,Rework,意思決定・オーナー責任,Reworkに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,手戻り・再実装・仕様変更工数,速度改善が再作業増で相殺される,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
518,P3,85.325,D18-T06-V4,サプライチェーン・外部ベンダー,Exit Plan,意思決定・オーナー責任,Exit Planに関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,契約終了・値上げ・撤退時の移行時間とデータ取得,ベンダーロックインで交渉不能になる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
519,P3,85.32,D08-T03-V2,顧客価値・利用・UX,主要機能利用率,構造・因果の説明責任,主要機能利用率の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,価値仮説上重要な機能の利用割合,売れているが中核価値が使われない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
520,P3,85.31,D18-T07-V4,サプライチェーン・外部ベンダー,AI Provider依存,意思決定・オーナー責任,AI Provider依存に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,モデル提供者の価格・仕様・地域・ポリシー変更影響,モデル変更で製品挙動と原価が同時に変わる,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
521,P3,85.305,D17-T04-V2,アーキテクチャ・技術負債・プラットフォーム,依存ライブラリ健全性,構造・因果の説明責任,依存ライブラリ健全性の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,更新遅延、脆弱性、保守終了,古い依存がアップグレード経路を塞ぐ,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
522,P3,85.295,D02-T08-V3,継続率・顧客維持,Expansion母集団,下方リスク・早期警戒責任,Expansion母集団の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「NRR向上計画に実在する案件母集団がない」が顕在化する前に経営判断へつなげられること。,拡張余地のあるアカウント数・金額・条件,NRR向上計画に実在する案件母集団がない,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
523,P3,85.295,D12-T08-V3,セキュリティ,Threat Modeling,下方リスク・早期警戒責任,Threat Modelingの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「設計段階の高リスクを実装後に発見する」が顕在化する前に経営判断へつなげられること。,主要機能・境界変更時の脅威分析,設計段階の高リスクを実装後に発見する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
524,P3,85.29,D17-T05-V2,アーキテクチャ・技術負債・プラットフォーム,API設計,構造・因果の説明責任,API設計の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,契約、Versioning、互換性、Rate Limit,外部連携拡大後に変更不能になる,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
525,P3,85.29,D23-T05-V2,予算・財務計画・投資管理,ROI Portfolio,構造・因果の説明責任,ROI Portfolioの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,投資テーマ別投入額・便益・継続判断,投資総額は把握しても成果別に見えない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
526,P3,85.28,D02-T09-V3,継続率・顧客維持,休眠・低利用顧客,下方リスク・早期警戒責任,休眠・低利用顧客の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「更新時に一斉解約が発生する」が顕在化する前に経営判断へつなげられること。,契約中だが価値実感が弱い顧客比率,更新時に一斉解約が発生する,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
527,P3,85.28,D12-T09-V3,セキュリティ,Pen Test/Red Team,下方リスク・早期警戒責任,Pen Test/Red Teamの悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「監査直前だけ検査して常時リスクを見逃す」が顕在化する前に経営判断へつなげられること。,高リスク面の第三者検証と是正率,監査直前だけ検査して常時リスクを見逃す,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
528,P3,85.28,D18-T09-V4,サプライチェーン・外部ベンダー,BCP連携,意思決定・オーナー責任,BCP連携に関する未解決判断について、Decision Owner、期限、判断基準、見直し・撤退条件を明確にし、先送りによる損失を管理できること。,重要ベンダーを含む障害・復旧訓練,自社BCPが外部依存で成立しない,議論が分析止まりになっていないかを確認し、決める人、決める期限、選択肢、判断基準、先送りコストの欠落を問う。
529,P3,85.28,D21-T09-V3,組織・人材・リーダーシップ,意思決定速度,下方リスク・早期警戒責任,意思決定速度の悪化前兆、閾値、波及経路、エスカレーション条件を持ち、「会議と承認で市場対応が遅れる」が顕在化する前に経営判断へつなげられること。,重要意思決定のリードタイムと滞留箇所,会議と承認で市場対応が遅れる,先行指標、閾値、最悪ケース、影響額・顧客数・停止時間、経営報告条件の欠落を探し、未管理の下方リスクを問う。
530,P3,85.275,D01-T06-V2,事業成果・売上成長,収益の継続性,構造・因果の説明責任,収益の継続性の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,Recurring Revenue比率、契約期間、更新確度,単発売上で見かけの成長を作る,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
531,P3,85.26,D17-T07-V2,アーキテクチャ・技術負債・プラットフォーム,Observability Architecture,構造・因果の説明責任,Observability Architectureの良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,ログ・メトリクス・トレースの関連付け,障害解析が人の勘に依存する,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
532,P3,85.245,D17-T08-V2,アーキテクチャ・技術負債・プラットフォーム,技術負債台帳,構造・因果の説明責任,技術負債台帳の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,負債の事業影響・返済コスト・期限,負債が抽象語のまま優先されない,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
533,P3,85.23,D01-T09-V2,事業成果・売上成長,売上認識品質,構造・因果の説明責任,売上認識品質の良化・悪化を生んだ要因を分解し、一過性要因、外部要因、自社施策、顧客Mixを区別して再現性を説明できること。,売上認識条件、繰延、契約変更の影響,KPIと会計売上の不整合が経営判断を歪める,時系列、セグメント、コホート、施策前後、反対事例を突き合わせ、因果説明の弱点や都合のよい集計を狙って問いを生成する。
